Vehicle Full Code,Vehicle Code,OEM Model Name,SIAM Company Code,SIAM Segment 1,SIAM Segment 2,SIAM Fuel,Month,Year,Production Qty,Domestic Sale,Export Sale,Category,Category Name,YrMth
HYVRCCMSDI,VR,Verna,HYUNDAI MOTOR INDIA LTD,C+,Mid-Size,DIESEL,AUG,2014,2204,1889,0,PVPC,Passenger car PV,01-08-2014
HYVRCCMSPT,VR,Verna,HYUNDAI MOTOR INDIA LTD,C+,Mid-Size,PETROL,AUG,2014,882,824,85,PVPC,Passenger car PV,01-08-2014
MSCICCMSPT,CI,CIAZ,MARUTI SUZUKI INDIA LTD,C+,Mid-Size,PETROL,AUG,2014,13,0,0,PVPC,Passenger car PV,01-08-2014
MSCICCMSDI,CI,CIAZ,MARUTI SUZUKI INDIA LTD,C+,Mid-Size,DIESEL,AUG,2014,2633,0,0,PVPC,Passenger car PV,01-08-2014
MSSXCCMSPT,SX,SX4,MARUTI SUZUKI INDIA LTD,C+,Mid-Size,PETROL,AUG,2014,0,18,0,PVPC,Passenger car PV,01-08-2014
MSSXCCMSCN,SX,SX4,MARUTI SUZUKI INDIA LTD,C+,Mid-Size,CNG,AUG,2014,0,0,0,PVPC,Passenger car PV,01-08-2014
MSSXCCMSDI,SX,SX4,MARUTI SUZUKI INDIA LTD,C+,Mid-Size,DIESEL,AUG,2014,0,32,0,PVPC,Passenger car PV,01-08-2014
NMSYCCMSDI,SY,Sunny,NISSAN MOTOR INDIA PVT LTD,C+,Mid-Size,DIESEL,AUG,2014,194,361,0,PVPC,Passenger car PV,01-08-2014
NMSYCCMSPT,SY,Sunny,NISSAN MOTOR INDIA PVT LTD,C+,Mid-Size,PETROL,AUG,2014,5110,145,4152,PVPC,Passenger car PV,01-08-2014
RISACCMSDI,SA,Scala,RENAULT INDIA PVT LTD,C+,Mid-Size,DIESEL,AUG,2014,0,37,0,PVPC,Passenger car PV,01-08-2014
RISACCMSPT,SA,Scala,RENAULT INDIA PVT LTD,C+,Mid-Size,PETROL,AUG,2014,0,1,0,PVPC,Passenger car PV,01-08-2014
SKRDCCMSPT,RD,Rapid,SKODAAUTO INDIA PVT LTD,C+,Mid-Size,PETROL,AUG,2014,125,255,0,PVPC,Passenger car PV,01-08-2014
SKRDCCMSDI,RD,Rapid,SKODAAUTO INDIA PVT LTD,C+,Mid-Size,DIESEL,AUG,2014,735,772,0,PVPC,Passenger car PV,01-08-2014
TMMACCMSDI,MA,Manza,TATA MOTORS LTD,C+,Mid-Size,DIESEL,AUG,2014,0,75,0,PVPC,Passenger car PV,01-08-2014
TMMACCMSPT,MA,Manza,TATA MOTORS LTD,C+,Mid-Size,PETROL,AUG,2014,35,4,1,PVPC,Passenger car PV,01-08-2014
VIVOCCMSPT,VO,Vento,VOLKSWAGEN INDIA PVT LTD,C+,Mid-Size,PETROL,AUG,2014,5001,259,5553,PVPC,Passenger car PV,01-08-2014
VIVOCCMSDI,VO,Vento,VOLKSWAGEN INDIA PVT LTD,C+,Mid-Size,DIESEL,AUG,2014,1347,661,705,PVPC,Passenger car PV,01-08-2014
HMABOCMSDI,AB,Ambassador,HINDUSTAN MOTORS LTD,C,Mid-Size,DIESEL,AUG,2014,0,0,0,PVPC,Passenger car PV,01-08-2014
HMABOCMSCN,AB,Ambassador,HINDUSTAN MOTORS LTD,C,Mid-Size,CNG,AUG,2014,0,0,0,PVPC,Passenger car PV,01-08-2014
HMABOCMSPT,AB,Ambassador,HINDUSTAN MOTORS LTD,C,Mid-Size,PETROL,AUG,2014,0,0,0,PVPC,Passenger car PV,01-08-2014
FALACCEEDI,LA,Linea,FIAT INDIA AUTOMOBILES PVT LTD,C+,Executive,DIESEL,AUG,2014,44,100,0,PVPC,Passenger car PV,01-08-2014
FALACCEEPT,LA,Linea,FIAT INDIA AUTOMOBILES PVT LTD,C+,Executive,PETROL,AUG,2014,6,38,1,PVPC,Passenger car PV,01-08-2014
GMCEODEEDI,CE,Cruze,GENERAL MOTORS INDIA PVT LTD,D,Executive,DIESEL,AUG,2014,74,124,0,PVPC,Passenger car PV,01-08-2014
GMOTODEEPT,OT,Optra,GENERAL MOTORS INDIA PVT LTD,D,Executive,PETROL,AUG,2014,0,0,0,PVPC,Passenger car PV,01-08-2014
GMOTODEEDI,OT,Optra,GENERAL MOTORS INDIA PVT LTD,D,Executive,DIESEL,AUG,2014,0,0,0,PVPC,Passenger car PV,01-08-2014
HMLCODEEPT,LC,Lancer,HINDUSTAN MOTORS LTD,D,Executive,PETROL,AUG,2014,0,0,0,PVPC,Passenger car PV,01-08-2014
HCCCODEEPT,CC,Civic,HONDA CARS INDIA LTD,D,Executive,PETROL,AUG,2014,0,0,0,PVPC,Passenger car PV,01-08-2014
HYETODEEDI,ET,Elantra,HYUNDAI MOTOR INDIA LTD,D,Executive,DIESEL,AUG,2014,209,209,0,PVPC,Passenger car PV,01-08-2014
HYETODEEDI,ET,Elantra,HYUNDAI MOTOR INDIA LTD,D,Executive,DIESEL,DEC,2014,60,112,0,PVPC,Passenger car PV,01-12-2014
HYETODEEPT,ET,Elantra,HYUNDAI MOTOR INDIA LTD,D,Executive,PETROL,DEC,2014,90,27,0,PVPC,Passenger car PV,01-12-2014
MSKIOEEEPT,KI,Kizashi,MARUTI SUZUKI INDIA LTD,E,Executive,PETROL,DEC,2014,0,0,0,PVPC,Passenger car PV,01-12-2014
RIRFODEEDI,RF,Renault FLUENCE,RENAULT INDIA PVT LTD,D,Executive,DIESEL,DEC,2014,0,28,0,PVPC,Passenger car PV,01-12-2014
RIRFODEEPT,RF,Renault FLUENCE,RENAULT INDIA PVT LTD,D,Executive,PETROL,DEC,2014,0,1,0,PVPC,Passenger car PV,01-12-2014
SKLUODEEDI,LU,Laura,SKODAAUTO INDIA PVT LTD,D,Executive,DIESEL,DEC,2014,0,0,0,PVPC,Passenger car PV,01-12-2014
SKLUODEEPT,LU,Laura,SKODAAUTO INDIA PVT LTD,D,Executive,PETROL,DEC,2014,0,0,0,PVPC,Passenger car PV,01-12-2014
SKOAP3EEDI,OA,Octavia,SKODAAUTO INDIA PVT LTD,Premium Car 3,Executive,DIESEL,DEC,2014,40,51,0,PVPC,Passenger car PV,01-12-2014
SKOAP3EEPT,OA,Octavia,SKODAAUTO INDIA PVT LTD,Premium Car 3,Executive,PETROL,DEC,2014,9,10,0,PVPC,Passenger car PV,01-12-2014
TKCAODEEDI,CA,Corolla,TOYOTA KIRLOSKAR MOTOR PVT LTD,D,Executive,DIESEL,DEC,2014,377,282,0,PVPC,Passenger car PV,01-12-2014
MMQOF2U1DI,QO,Quanto,MAHINDRA & MAHINDRA LTD,SUV,UV1,DIESEL,DEC,2014,153,205,0,PVUV,Utility vehicles PV,01-12-2014
GMCPF2U4DI,CP,Captiva,GENERAL MOTORS INDIA PVT LTD,SUV,UV4:,DIESEL,DEC,2014,0,0,0,PVUV,Utility vehicles PV,01-12-2014
HMJSF2U4DI,JS,PAJERO SPORT,HINDUSTAN MOTORS LTD,SUV,UV4:,DIESEL,DEC,2014,0,0,0,PVUV,Utility vehicles PV,01-12-2014
HCCVF2U4PT,CV,CRV,HONDA CARS INDIA LTD,SUV,UV4:,PETROL,DEC,2014,510,22,0,PVUV,Utility vehicles PV,01-12-2014
HYSFF2U4DI,SF,Santa Fe,HYUNDAI MOTOR INDIA LTD,SUV,UV4:,DIESEL,DEC,2014,108,75,0,PVUV,Utility vehicles PV,01-12-2014
IMMUF2U4DI,MU,MU-7,ISUZU MOTORS INDIA PVT LTD,SUV,UV4:,DIESEL,DEC,2014,6,16,0,PVUV,Utility vehicles PV,01-12-2014
MMRNF2U4DI,RN,Rexton,MAHINDRA & MAHINDRA LTD,SUV,UV4:,DIESEL,DEC,2014,6,37,0,PVUV,Utility vehicles PV,01-12-2014
MSVAF2U4PT,VA,Vitara,MARUTI SUZUKI INDIA LTD,SUV,UV4:,PETROL,DEC,2014,0,0,0,PVUV,Utility vehicles PV,01-12-2014
NMXTF2U4DI,XT,X-Trail,NISSAN MOTOR INDIA PVT LTD,SUV,UV4:,DIESEL,DEC,2014,0,0,0,PVUV,Utility vehicles PV,01-12-2014
RIKSF2U4DI,KS,Koleos,RENAULT INDIA PVT LTD,SUV,UV4:,DIESEL,DEC,2014,0,18,0,PVUV,Utility vehicles PV,01-12-2014
SKYIF2U4DI,YI,Yeti,SKODAAUTO INDIA PVT LTD,SUV,UV4:,DIESEL,DEC,2014,0,20,0,PVUV,Utility vehicles PV,01-12-2014
TKFRF2U4DI,FR,Fortuner,TOYOTA KIRLOSKAR MOTOR PVT LTD,SUV,UV4:,DIESEL,DEC,2014,1364,1295,0,PVUV,Utility vehicles PV,01-12-2014
TKLRF2U5DI,LR,Land Cruiser,TOYOTA KIRLOSKAR MOTOR PVT LTD,SUV,UV5:,DIESEL,DEC,2014,0,2,0,PVUV,Utility vehicles PV,01-12-2014
TKPRF2U5DI,PR,Prado,TOYOTA KIRLOSKAR MOTOR PVT LTD,SUV,UV5:,DIESEL,DEC,2014,0,0,0,PVUV,Utility vehicles PV,01-12-2014
MMMMF1V1DI,MM,Maxximo Minivan VX,MAHINDRA & MAHINDRA LTD,MPV,V1:,DIESEL,DEC,2014,327,407,140,PVVN,Vans PV,01-12-2014
MSEEF1V1PT,EE,Eeco,MARUTI SUZUKI INDIA LTD,MPV,V1:,PETROL,DEC,2014,4472,4519,18,PVVN,Vans PV,01-12-2014
MSOIF1V1PT,OI,Omni,MARUTI SUZUKI INDIA LTD,MPV,V1:,PETROL,DEC,2014,6253,6252,39,PVVN,Vans PV,01-12-2014
TMVEF1V1DI,VE,Venture,TATA MOTORS LTD,MPV,V1:,DIESEL,DEC,2014,21,27,0,PVVN,Vans PV,01-12-2014
FMTPF1V2DI,TP,Trip,FORCE MOTORS LTD,MPV,V2:,DIESEL,DEC,2014,0,0,0,PVVN,Vans PV,01-12-2014
MMGOF1V2DI,GO,Gio,MAHINDRA & MAHINDRA LTD,MPV,V2:,DIESEL,DEC,2014,81,84,0,PVVN,Vans PV,01-12-2014
MMMOF1V2DI,MO,Maxximo,MAHINDRA & MAHINDRA LTD,MPV,V2:,DIESEL,DEC,2014,194,178,0,PVVN,Vans PV,01-12-2014
TMAMF1V2CN,AM,ACE Magic,TATA MOTORS LTD,MPV,V2:,CNG,DEC,2014,0,0,0,PVVN,Vans PV,01-12-2014
TMAMF1V2DI,AM,ACE Magic,TATA MOTORS LTD,MPV,V2:,DIESEL,DEC,2014,662,898,5,PVVN,Vans PV,01-12-2014
TMMIF1V2CN,MI,Magic Iris,TATA MOTORS LTD,MPV,V2:,CNG,DEC,2014,0,0,0,PVVN,Vans PV,01-12-2014
TMMIF1V2DI,MI,Magic Iris,TATA MOTORS LTD,MPV,V2:,DIESEL,DEC,2014,736,661,0,PVVN,Vans PV,01-12-2014
HMABOCMSPT,AB,Ambassador,HINDUSTAN MOTORS LTD,C,Mid-Size,PETROL,FEB,2014,29,29,0,PVPC,Passenger car PV,01-02-2014
MMBOF1U1DI,BO,Bolero,MAHINDRA & MAHINDRA LTD,MPV,UV1,DIESEL,DEC,2014,7539,9748,12,PVUV,Utility vehicles PV,01-12-2014
HCMBBSU1PT,MB,Mobilio,HONDA CARS INDIA LTD,MPV,UV1,PETROL,DEC,2014,0,0,0,PVUV,Utility vehicles PV,01-12-2014
HCMBBSU1DI,MB,Mobilio,HONDA CARS INDIA LTD,MPV,UV1,DIESEL,DEC,2014,0,0,0,PVUV,Utility vehicles PV,01-12-2014
FIFEF2U1PT,FE,FORD ECOSPORT,FORD INDIA PVT LTD,SUV,UV1,PETROL,DEC,2014,2816,445,4445,PVUV,Utility vehicles PV,01-12-2014
FIFEF2U1DI,FE,FORD ECOSPORT,FORD INDIA PVT LTD,SUV,UV1,DIESEL,DEC,2014,1954,2920,2837,PVUV,Utility vehicles PV,01-12-2014
FMTGF1U1DI,TG,Trax-Gama,FORCE MOTORS LTD,MPV,UV1,DIESEL,DEC,2014,2,17,0,PVUV,Utility vehicles PV,01-12-2014
ALSEF1U1DI,SE,STILE,ASHOK LEYLAND LTD,MPV,UV1,DIESEL,DEC,2014,27,26,1,PVUV,Utility vehicles PV,01-12-2014
TKPSP3PMHY,PS,Prius,TOYOTA KIRLOSKAR MOTOR PVT LTD,Premium Car 3,Premium:,HYBRID,DEC,2014,0,0,0,PVPC,Passenger car PV,01-12-2014
TKCYOEPMHY,CY,CAMRY,TOYOTA KIRLOSKAR MOTOR PVT LTD,E,Premium:,HYBRID,DEC,2014,54,7,0,PVPC,Passenger car PV,01-12-2014
